Incidence,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
0,0.0651,0.16,-0.526,-0.458,0.375,0.0628,0.158,0.103,0.358,-0.193,0.209,-0.264,0.0692,0.362,0.239,-0.233
0,0.0278,-0.0267,0.218,0.183,0.644,-0.265,-0.304,-0.484,-0.398,-0.609,0.794,-0.606,0.307,-0.408,0.131,0.0736
0,0.113,0.181,-0.569,-0.499,0.424,0.774,0.704,-0.382,0.631,-0.715,1.37,-0.186,0.0668,-0.21,0.249,-0.116
0,0.101,0.104,0.209,0.175,-0.208,-0.12,-0.0965,-0.678,-1,0.923,-0.822,-0.167,0.358,-0.773,-1.16,0.584
0,-0.194,0.134,-0.305,-0.237,0.213,-0.00121,-0.106,0.332,0.12,-1.09,-0.342,-0.524,0.675,0.518,0.786,NA
0,-0.148,-0.165,-0.78,-0.677,0.497,0.509,0.38,-1.36,0.91,-0.727,0.171,-0.378,1.61,NA,-1.59,1.75
0,-0.0432,0.0155,0.676,0.612,NA,-1.69,-1.67,-1.03,-1.69,3.49,-1.28,-1.23,0.248,-1.2,1.15,0.411
0,-0.137,0.0375,0.163,0.152,-0.087,0.273,0.321,NA,0.112,0.237,-0.35,1.05,0.0949,0.084,-0.0419,-0.915
0,-0.00247,0.0662,-0.787,-0.679,0.163,0.705,0.751,0.114,-0.653,-0.265,-0.382,0.512,0.14,0.0486,0.0577,-0.0537
0,-0.118,-0.082,-0.817,-0.698,NA,1.09,1.07,-0.795,-0.312,-0.734,0.602,0.349,0.589,-0.718,0.139,-0.377
0,0.0206,0.163,-0.233,-0.203,0.688,0.71,1.01,-0.543,0.209,-0.0716,0.257,0.476,-0.156,-0.536,0.889,-0.0753
0,0.124,0.183,0.49,0.425,0.41,-0.911,-0.877,NA,0.894,-0.49,-0.375,-0.396,-0.37,3.09,1.7,-0.562
0,0.106,-0.267,0.00248,0.00352,-0.68,0.429,0.369,1.57,-1.47,0.207,-0.888,-0.55,0.706,1.18,0.766,NA
0,-0.0489,-0.0212,0.362,0.314,NA,-0.138,-0.117,-0.149,0.942,-0.824,0.232,0.148,0.773,-0.233,0.05,-0.231
0,-0.136,-0.0559,-0.455,-0.352,0.372,0.815,0.635,0.168,-0.108,0.474,-0.464,0.191,0.344,0.0614,0.687,0.271
0,-0.138,0.0161,-0.0141,-0.0189,0.427,0.139,0.217,-0.171,1.34,-0.765,0.529,-0.43,0.585,-0.126,0.0456,0.244
0,0.364,0.0975,-1.59,-1.38,0.679,1.73,1.72,0.114,0.368,-0.158,-0.959,0.972,-0.47,-0.00821,NA,-0.327
0,0.0174,0.0923,-0.0817,-0.0637,NA,0.16,0.175,0.668,0.34,0.13,-0.457,0.202,-0.369,0.492,0.89,-0.352
0,0.0869,0.204,-0.512,-0.434,0.541,0.327,0.237,-0.137,0.926,-0.419,0.884,-0.123,-0.478,NA,0.164,NA
0,0.152,0.185,0.365,0.321,0.54,-0.461,-0.485,NA,-0.416,-0.37,0.319,0.102,-0.142,0.677,0.0997,-0.683
0,0.181,0.206,0.143,0.116,0.231,-0.0423,0.253,0.983,1.8,-0.802,2.21,1.02,-0.848,1.23,0.64,NA
0,0.164,0.186,-0.329,-0.261,0.681,0.547,0.499,NA,-0.419,0.555,0.791,-0.476,-0.226,-0.0694,0.185,0.513
0,0.0632,0.172,0.0351,0.0433,0.135,-0.435,-0.484,1.37,1.29,-0.725,2.33,0.409,-0.415,1.6,1.24,NA
0,-0.196,-0.0497,-0.232,-0.189,0.328,0.394,0.249,-1.02,-0.238,-0.976,-0.219,-0.615,0.929,-0.947,-1.67,0.942
0,0.159,-0.0734,0.158,0.128,-0.0615,0.0539,0.104,-0.636,-1.01,0.0621,-1.22,-0.524,0.144,NA,-0.341,0.157
0,0.0443,0.196,0.574,0.487,0.327,-0.498,-0.463,1.49,0.459,-0.948,1.18,-0.128,0.0602,1.68,0.714,-0.471
0,-0.159,-0.153,0.129,0.137,-0.491,-0.42,-0.394,-0.436,-0.403,1.33,-0.409,0.171,0.207,-0.501,-0.488,0.49
0,0.171,0.241,0.352,0.308,0.78,-0.617,-0.61,2.77,-0.139,2,-0.496,-0.219,-0.552,2.34,0.554,-0.559
0,0.0446,0.0981,0.0274,0.0407,0.0789,0.00874,-0.106,0.404,-0.251,0.761,-0.478,1.21,-0.536,0.283,NA,-0.0262
0,0.00795,0.131,0.687,0.586,0.168,-1.08,-1.02,-0.192,-0.525,-0.183,0.106,0.27,-0.01,-0.2,-0.0899,NA
0,0.0743,0.185,-0.635,-0.56,0.929,0.767,0.838,-0.444,-0.126,0.148,2.04,-0.45,-0.396,-0.358,NA,-0.494
0,-0.386,-0.043,-1.57,-1.39,0.246,1.86,1.83,-1.92,0.613,0.14,2.68,2.91,-0.922,-1.97,0.979,-6.93
0,0.0882,0.185,0.619,0.544,0.765,-0.769,-0.787,NA,-0.227,-0.241,-0.609,-0.427,-0.452,-0.436,-0.569,0.542
0,0.0806,0.165,-0.274,-0.271,0.1,-0.485,-0.272,-0.72,1.7,-0.835,1.88,-0.743,0.277,-0.411,-0.0553,-0.708
0,0.0657,0.0616,0.517,0.444,0.726,-0.52,-0.397,-0.623,0.619,-0.0768,-0.00875,0.0692,0.139,-0.58,0.513,0.453
0,-0.119,0.174,-0.198,-0.161,NA,-0.00606,0.0744,0.653,0.503,-1.21,0.17,0.408,-0.0698,0.737,NA,-0.577
0,0.0408,0.207,0.671,0.566,0.606,-0.509,-0.382,0.645,2.17,-1.06,0.705,0.0259,-0.807,0.738,0.989,-0.338
0,0.0591,0.172,0.0736,0.057,0.258,-0.236,-0.191,0.212,1.58,-0.759,2.21,0.938,-0.675,0.284,0.186,-1.36
0,0.149,0.0258,-1.54,-1.34,0.619,1.26,1.25,-0.97,0.785,0.172,1.13,-1.8,0.11,-0.846,-0.76,0.0183
0,-0.0116,-0.337,-1.23,-1.06,0.163,2.77,3.35,-1.49,-0.161,-1.18,0.931,-2.42,0.843,-1.49,-1.13,NA
0,0.0623,-0.821,-0.257,-0.226,NA,0.243,0.23,0.0742,-1.34,-0.783,-1.24,0.531,-0.705,-0.149,0.281,NA
0,-0.0561,0.0823,-0.0183,-0.0138,-0.69,0.323,0.342,0.477,-1.69,0.497,-1.06,0.557,0.0706,0.159,-1.01,NA
0,-0.175,0.1,-0.0141,-0.026,0.328,-1.08,-1.01,NA,1.54,-1.06,1.61,-0.0428,-0.674,NA,0.862,-0.189
0,-0.00152,0.091,-0.0728,-0.0525,0.746,-0.0812,-0.15,-0.69,-0.521,-0.17,-0.345,-0.218,-0.134,-0.677,-0.672,NA
0,-0.0479,0.157,-0.727,-0.628,0.219,0.757,0.7,0.915,0.941,-1.29,0.94,0.121,0.00662,1.06,0.384,-0.93
0,0.0291,-0.00342,0.0867,0.057,0.661,0.623,0.654,-0.89,-0.0673,-0.445,-0.28,-0.0567,0.249,-0.92,-0.552,0.394
0,0.0282,-0.241,0.0464,0.0366,-2.11,-0.177,-0.141,-0.0594,-1.26,2.11,-1.31,-0.00166,-0.534,-0.336,0.00776,-2.09
0,0.0847,0.202,0.831,0.719,0.688,0.41,0.284,-1.11,0.466,-0.0565,0.927,-0.00115,-0.399,-0.934,0.375,0.783
0,0.0935,0.159,-1.05,-0.893,0.67,0.521,0.419,NA,-0.045,-1.11,0.281,-0.121,-0.0784,NA,0.864,-0.442
0,-0.294,-0.576,-0.203,-0.19,NA,-0.000901,0.0314,-1.65,-1.71,1.79,-0.876,-1.2,1.1,NA,NA,1.21
0,0.0171,0.214,-0.102,-0.0668,0.861,0.125,0.127,0.252,0.327,-0.148,1.21,-0.0435,-0.559,0.311,0.697,-0.534
0,0.12,0.228,0.428,0.369,0.821,-0.945,-0.897,-0.692,-0.137,-0.56,0.392,-0.374,-0.425,-0.637,-0.234,-0.0285
0,0.0212,0.195,0.297,0.27,0.561,-0.486,-0.511,-0.29,-0.26,-0.373,-0.0818,0.0492,-0.422,-0.206,-0.378,0.209
0,-0.0833,0.0716,-0.28,-0.204,0.516,0.18,0.0942,-0.0699,0.297,0.719,-0.517,0.00531,-0.347,0.0124,0.227,-0.0883
0,-0.0776,0.156,0.141,0.131,-0.207,-0.127,-0.199,1.27,0.775,-1.43,1.45,0.373,0.0205,1.65,0.376,-0.934
0,0.148,-0.18,-0.32,-0.267,-0.18,0.818,0.743,0.279,-0.349,0.101,-0.7,0.0507,0.759,0.0849,NA,0.413
0,-0.15,0.00742,-0.303,-0.225,0.0671,0.749,0.749,-0.807,0.0528,0.129,1.86,0.764,-0.661,-0.637,NA,-0.522
0,0.0919,0.134,0.586,0.495,0.451,-0.821,-0.717,0.787,-0.141,-0.614,0.777,0.322,-0.0884,NA,NA,NA
0,-0.0123,-0.225,0.0849,0.0708,NA,-0.234,-0.17,NA,-1.93,0.497,-1.09,-0.559,0.417,0.131,-0.0234,0.116
0,-0.11,-0.0481,-0.117,-0.0484,0.52,0.227,0.256,1.5,1.28,-0.174,0.86,-0.487,0.321,1.49,0.806,0.124
0,-0.214,0.0228,0.205,0.21,0.239,0.722,0.509,NA,1.17,-0.778,1.63,1.24,0.143,-0.625,-1.06,0.188
0,-0.125,-0.229,0.48,0.418,-3,-0.995,-0.974,-1.72,-1.99,0.461,-0.983,0.632,-0.383,NA,-0.573,-4
0,-0.0789,0.0737,-0.616,-0.527,0.493,0.778,0.748,-0.46,0.235,-1.3,-0.527,0.374,-0.251,-0.316,0.272,0.00789
0,-0.0132,-0.481,-0.0456,-0.051,-3.1,0.214,0.233,-0.0297,-1.87,2.2,-1.22,0.111,0.427,-0.336,-0.0733,-0.149
0,-0.282,0.129,-1.3,-1.1,0.0764,1.5,1.27,NA,0.908,-1.04,1.01,0.101,0.212,1.76,1.34,-0.351
0,0.0717,0.185,-0.229,-0.182,NA,0.198,0.204,0.0491,0.59,-0.115,-0.464,-0.467,-0.175,NA,0.718,NA
0,-0.51,-0.161,-1.89,-1.59,0.251,1.7,1.75,0.267,1.51,-0.715,0.635,0.0344,-0.375,0.407,0.663,NA
0,0.00069,0.158,-0.0675,-0.0622,0.574,0.408,0.309,0.336,2.77,-1.13,1.83,0.629,-0.237,0.757,1.15,-0.882
0,0.0689,-0.222,-0.207,-0.19,-1.18,0.19,0.237,-1.08,-1.11,1.03,-1.16,-0.173,0.437,-1.21,-1.19,NA
0,-0.127,0.00999,-0.14,-0.109,0.145,0.771,0.698,0.809,0.65,-1.08,-0.124,1.39,-0.26,1.14,0.687,-0.491
0,0.0449,0.176,-0.387,-0.352,NA,0.34,0.434,-0.278,-1.78,0.94,-0.528,0.0696,-0.537,-0.425,-0.35,-0.317
0,0.0408,-0.246,0.0902,0.0514,-3.43,0.00441,0.0678,-0.588,-1.9,0.938,-1.19,-0.463,0.558,NA,-0.437,-4.58
0,0.0241,0.176,0.527,0.445,0.546,-0.678,-0.83,NA,1.77,-1.49,1.45,0.0199,-0.252,0.292,0.855,-0.914
0,-0.195,-0.082,-0.0295,0.00862,0.545,0.794,0.66,-0.584,0.399,0.391,0.12,-1.8,0.855,NA,-0.503,0.0705
0,-0.00973,0.0669,0.548,0.484,0.467,-0.283,-0.305,-0.0905,-0.0427,-0.673,-0.997,0.145,0.0715,NA,-0.114,0.217
0,-0.175,-0.0215,-1.38,-1.21,NA,1.77,1.72,NA,1.36,-1.1,1.31,-0.281,1.28,-0.178,0.28,0.58
0,0.125,0.221,-0.312,-0.26,0.477,0.14,0.117,2.32,-0.472,-0.63,-0.377,0.0155,-0.409,2.07,0.478,NA
0,-0.132,-0.0456,-0.373,-0.33,-0.00831,0.299,0.401,-0.72,1.21,0.312,1.45,0.876,-1.58,-0.647,NA,-1
0,-0.0325,0.101,0.813,0.692,0.261,-0.416,-0.436,-0.185,-0.483,-0.708,-0.377,0.731,-0.174,-0.16,-0.481,0.135
0,0.32,-1.12,-0.995,-0.827,-2.06,1.49,0.859,-0.184,-1.8,0.491,-0.769,-0.482,1.22,NA,-1.59,-1.64
0,0.129,-0.168,-0.567,-0.49,-3.18,1,1.03,-1.93,-0.472,2.98,-0.931,-0.378,-0.0563,-1.97,-3.27,NA
0,-0.15,0.00263,-0.63,-0.529,0.175,1.03,0.982,1.21,-0.669,0.773,-0.582,-0.893,0.751,0.938,1.4,NA
0,-0.00152,0.0944,-0.32,-0.211,0.306,0.717,0.549,0.186,-0.357,-0.285,-0.0343,-1.09,0.454,0.254,NA,0.257
0,0.0563,0.114,0.103,0.0988,0.662,-0.314,-0.294,1.67,0.194,-0.736,-0.767,-0.0802,-0.186,1.4,1.26,-0.156
0,-0.303,-0.233,-0.627,-0.574,-0.138,1.88,1.78,-1.16,0.797,-0.309,1.56,-1.17,1.04,-1.02,-1.47,-0.0506
0,0.0364,0.177,-1.2,-1.04,0.167,1.52,1.35,0.596,2.91,-0.863,2.11,-0.0312,0.0413,NA,0.54,NA
0,0.118,0.253,-0.114,-0.0963,0.57,0.00879,-0.038,0.787,0.114,-0.53,1.56,-0.247,-0.555,0.702,0.352,NA
0,-0.365,-0.0541,-1.17,-1.04,0.282,1.98,1.65,-0.343,0.379,0.336,1.83,-1.61,1.25,-0.202,0.0887,-0.867
0,0.0588,0.133,0.62,0.534,-0.224,-0.796,-0.767,1.34,-0.709,-0.352,-1.09,0.164,-0.444,0.987,0.544,0.741
0,-0.0773,0.0314,-0.606,-0.517,0.69,0.783,0.78,0.417,0.0807,-0.83,-0.628,-0.397,0.0175,0.316,1.15,0.0834
0,0.133,0.0867,-0.618,-0.534,NA,1.13,1.14,-0.785,-0.42,0.328,-0.923,0.479,-0.294,-0.878,-1.04,-0.21
0,-0.00973,0.0317,0.488,0.411,-0.412,-0.932,-0.879,0.922,-0.808,-0.417,-0.702,-0.22,0.348,0.572,NA,0.013
0,0.0155,0.198,0.518,0.447,0.641,-1.13,-1.11,-0.0641,0.303,-0.66,0.571,-0.476,-0.226,0.265,NA,0.23
0,0.0926,0.203,0.221,0.192,0.618,0.0433,0.00209,NA,-0.0509,-0.101,0.016,0.037,-0.27,0.774,0.346,-0.352
0,0.0386,0.0474,-0.313,-0.263,0.276,0.839,0.902,-0.879,0.0511,-0.486,0.255,0.47,0.457,-0.664,0.039,0.591
0,0.0474,0.129,0.0642,0.0621,0.684,0.329,0.343,-0.407,-0.0505,0.0554,0.714,1.15,0.315,-0.3,-0.283,-0.543
0,0.0553,0.0894,0.23,0.241,NA,0.0567,-0.0778,1.91,-0.607,0.449,-0.578,0.118,0.353,1.66,NA,-0.201
0,-0.0419,0.0591,0.918,0.768,NA,-1.62,-1.49,-0.0709,-1.85,1,-1.21,-0.11,0.305,-0.303,-1.13,0.232
0,0.0288,0.0977,-0.14,-0.131,0.676,0.0738,0.165,-0.194,0.796,-0.738,0.331,0.358,0.0885,NA,1.03,NA
0,-0.0707,0.12,0.361,0.317,0.297,-0.532,-0.63,NA,1.05,-1.63,0.808,-0.0312,0.229,0.952,0.613,-0.0927
0,0.0992,0.219,0.274,0.229,0.292,-0.664,-0.702,-0.108,0.252,-1.1,0.886,0.373,-0.409,0.106,0.0177,0.166
0,0.0481,-0.0855,-0.725,-0.605,-0.813,0.367,0.386,0.315,-0.893,0.381,-0.398,0.148,0.0682,0.123,NA,-0.159
0,-0.0934,-0.448,-1.41,-1.19,-0.259,2.3,2.16,-0.87,-0.687,-0.095,-0.258,-0.742,-0.25,-0.898,NA,0.726
0,0.0948,0.252,-0.174,-0.139,NA,0.302,0.344,-0.37,-0.359,0.139,-0.138,0.0806,-0.645,-0.259,0.841,-0.425
0,-0.0959,-0.084,-0.196,-0.199,NA,0.426,0.433,-0.417,1.6,-1.15,0.978,-0.552,1.92,-0.193,0.442,-0.475
0,0.0983,0.217,0.104,0.0876,NA,-0.681,-0.656,0.276,-0.472,-0.169,-0.203,-0.183,-0.672,0.134,NA,-0.336
0,-0.0274,0.146,-0.0669,-0.0586,NA,0.514,0.518,0.755,0.685,-0.454,0.56,0.683,-0.317,0.666,0.824,-0.192
0,0.0664,0.0835,-0.214,-0.219,-0.184,0.231,0.374,-0.872,-0.356,-0.26,0.945,-1.05,0.245,-0.779,-1.56,0.866
0,0.0983,0.252,0.125,0.108,0.694,-0.645,-0.663,NA,0.478,-1,0.463,-0.0312,-0.644,-0.0469,0.246,-0.142
0,0.00322,-0.776,0.49,0.426,-3.45,-0.254,-0.237,-0.826,-1.92,2.61,-1.32,-0.131,0.414,-1.01,-2.64,NA
0,-0.0356,0.175,0.259,0.23,0.0259,-0.214,-0.258,1.88,-0.0673,-0.995,-0.197,-0.108,0.0519,1.74,0.684,NA
0,0.0127,0.0177,0.571,0.498,-1.15,-1.14,-1.1,-1.84,-1.78,2.93,-1.26,0.252,-0.559,-1.89,-2.42,-0.000373
0,0.241,0.0733,-1.14,-0.955,-0.379,1.5,1.61,0.728,1.11,-0.533,2.55,-0.0775,-1.59,1.27,NA,-0.914
0,-0.0808,0.136,0.19,0.156,0.819,-0.212,-0.258,-0.293,1.2,-0.671,1.12,0.6,-0.364,-0.111,0.0728,0.0147
0,0.0869,0.0908,-0.0159,-0.0413,0.736,2.61,2.58,0.417,0.451,-0.208,-0.249,-0.947,0.0628,0.409,1.85,NA
0,0.0654,0.178,0.583,0.511,0.374,-1.17,-1.14,-0.574,-0.263,-0.274,-0.42,0.229,-0.306,-0.609,-0.124,NA
0,0.159,0.232,-0.583,-0.504,0.633,0.608,0.673,1.57,-0.0255,-0.488,0.579,0.264,0.034,1.45,0.322,-0.456
0,0.0433,0.174,-0.0705,-0.052,0.234,0.288,0.356,0.94,1.37,-0.539,1.67,0.612,-0.346,1.17,0.735,-0.726
0,0.0749,-0.72,-0.245,-0.209,-2.69,0.339,0.316,-0.997,-1.52,0.775,-1.21,0.0794,0.805,-1.15,-0.619,-2.18
0,0.0705,0.182,-0.484,-0.408,NA,0.873,0.911,NA,-0.343,-0.262,-0.154,0.927,-0.54,0.794,0.29,-0.165
0,0.112,0.214,0.935,0.805,0.371,-1.26,-1.28,0.784,0.342,-1.26,0.21,-0.229,-0.674,NA,0.175,-0.554
0,0.128,0.162,0.215,0.171,0.769,-0.161,-0.109,-0.26,0.233,-0.127,-0.274,-0.00217,-0.0709,-0.297,-0.0331,-0.114
0,0.222,-0.0282,-0.464,-0.368,-0.18,0.723,0.715,-0.858,-0.771,0.256,-0.934,-0.939,0.514,-0.964,-0.914,-0.202
0,-0.00973,0.0388,0.0831,0.0764,0.252,-0.279,-0.271,-0.676,-0.00918,0.318,-1.16,0.504,-0.186,NA,-1.04,NA
0,-0.00341,0.19,-0.267,-0.233,0.0762,0.375,0.243,0.557,2.46,-1.02,1.95,-0.44,-0.348,0.971,0.896,-0.829
0,0.0752,0.153,0.0215,0.0259,NA,-0.389,-0.422,0.421,0.0968,-0.353,-0.405,0.104,-0.0751,NA,0.487,-0.146
0,0.0348,0.0513,-0.861,-0.791,0.363,2.12,2.39,NA,-0.647,-0.258,1.35,-0.598,-0.0619,-0.883,0.39,-0.699
0,0.101,0.0875,0.56,0.49,-1.97,-0.994,-0.953,-0.0581,-1.77,0.166,-1.25,-0.48,-0.236,-0.328,NA,0.0367
0,0.19,0.275,1.86,1.6,0.869,-2.57,-2.49,-0.0423,-0.111,-0.181,-0.62,-0.052,-0.889,-0.125,0.148,-0.137
0,0.0642,0.169,-0.141,-0.126,0.64,-0.196,-0.141,-0.0282,0.472,-0.572,1.28,0.429,-0.602,0.324,0.565,0.0441
0,-0.251,-0.549,0.423,0.358,-2.18,-0.29,-0.286,-0.889,-1.01,2.03,-1.17,0.0223,0.384,-1.04,-0.797,-0.903
0,0.111,0.233,0.689,0.6,NA,-0.93,-0.964,-0.541,-0.344,-0.278,0.58,0.206,-0.554,NA,NA,-0.386
0,0.0443,0.213,0.815,0.713,0.878,-1.06,-1.08,0.443,0.879,-0.756,-0.105,0.0866,-0.485,0.618,NA,-0.216
0,0.291,0.185,0.268,0.231,0.828,0.209,0.209,NA,0.137,0.385,-0.782,0.402,-0.492,0.453,0.708,NA
0,0.00416,-0.102,-0.0651,-0.0296,-0.113,0.944,0.727,0.0101,-1.33,1.01,0.178,-0.474,1.1,NA,0.184,-0.119
0,-0.725,-0.203,0.384,0.386,-0.0583,11.8,12.2,2.66,2.06,-0.829,0.675,1.86,-0.937,3.19,NA,NA
0,-0.279,-0.183,-0.968,-0.803,NA,0.789,0.659,-1.17,0.623,1.32,1.82,-0.467,0.935,-1.15,-1.01,0.728
0,0.037,0.173,0.443,0.373,0.725,-0.521,-0.465,-0.428,0.534,-0.00591,0.297,-0.189,-0.273,-0.358,-0.0154,NA
0,-0.113,0.19,0.291,0.221,-0.638,-1.08,-1,-0.939,-1.34,1.48,-1.27,0.765,0.214,-1.11,-1.41,2.75
0,0.072,0.0937,0.205,0.172,0.641,-0.0217,0.041,0.865,0.751,-0.838,-0.374,-0.157,-0.257,0.744,1.4,-0.185
0,-0.0164,-0.183,-0.575,-0.473,-0.0268,0.999,0.969,0.842,-0.244,0.546,-0.932,1.08,0.246,0.508,0.225,0.389
0,0.0414,0.142,-0.0936,-0.0703,0.423,0.32,0.343,0.558,0.573,-0.633,1.1,-0.269,-0.212,0.735,0.429,-0.739
0,-0.0966,0.188,-0.505,-0.423,0.476,0.674,0.636,0.786,-0.0859,0.093,0.22,0.213,-0.297,0.907,0.159,-0.309
0,0.00195,0.129,0.508,0.444,0.421,-0.654,-0.673,0.189,0.544,-0.621,-0.47,0.116,-0.155,0.194,1.17,0.337
0,0.0203,0.113,-1.71,-1.48,-0.227,1.96,1.91,-0.76,-0.792,-0.977,0.383,1.64,2.17,-0.856,-2.06,0.914
0,0.0253,-1.16,-0.94,-0.784,-1.89,0.959,0.748,-1.19,-1.6,1.35,-0.828,0.829,-0.0763,NA,-1.13,0.00323
0,0.148,-0.284,-0.503,-0.427,-0.38,0.264,0.284,-0.69,-0.64,0.314,-1.34,0.393,0.433,-0.855,-1.47,NA
0,0.0439,0.198,0.218,0.188,0.435,-0.0385,-0.146,0.569,-0.0219,-1.4,-0.0362,0.381,0.141,0.639,0.844,-0.00657
0,0.231,0.0757,-0.359,-0.308,-0.722,0.412,0.44,-0.61,-1.12,0.404,-1.05,0.125,-0.00883,-0.766,-0.811,-0.621
0,0.107,0.301,-0.039,-0.0495,-2.83,-0.197,-0.16,-1.55,-1.83,4.62,-1.26,0.608,-0.615,-1.64,-2.01,2.65
0,0.112,-0.36,0.445,0.354,-1.47,-0.709,-0.614,-0.799,-1.83,0.791,-1.13,-0.799,0.572,-0.952,-0.787,0.514
0,-0.191,0.0613,-0.5,-0.412,0.249,1.19,0.982,-0.22,-0.114,-0.906,0.911,-1.78,0.169,NA,NA,-0.138
0,0.0623,0.103,0.133,0.135,0.409,0.132,0.102,2.81,0.988,-0.974,-0.00338,-0.593,-0.536,2.61,1.58,-0.999
0,0.195,0.269,0.192,0.168,1.16,-0.479,-0.426,0.472,-0.194,1.67,-0.729,0.0043,-0.785,0.409,0.763,-0.312
0,-0.0546,0.125,0.236,0.221,NA,-0.153,-0.189,0.186,-0.268,0.215,-0.428,0.22,-0.76,0.202,NA,0.164
0,0.127,0.0758,-0.0598,-0.0367,0.187,-0.348,-0.372,1.48,-0.128,-0.389,-0.954,0.512,-0.417,1.11,NA,0.0608
0,-0.353,-0.18,0.615,0.544,-1.11,-0.822,-0.807,-0.259,-0.947,2.11,-1.32,-0.0124,0.326,-0.49,-1.56,NA
0,0.0762,0.158,0.326,0.282,0.625,-0.57,-0.509,-0.194,0.099,-0.891,-0.171,-0.342,0.0124,-0.0412,0.0771,0.127
0,-0.0991,0.145,-0.331,-0.298,-0.12,0.177,0.167,0.436,0.542,-1.1,2.8,-1.06,-0.0276,0.769,NA,-0.953
0,-0.0293,0.123,0.0375,0.0504,0.265,-0.101,-0.112,-0.553,-0.51,-0.0294,-0.685,-0.47,0.0473,-0.515,-0.717,0.381
0,0.00606,0.1,0.569,0.506,0.802,-0.00201,-0.0026,NA,-0.228,-0.0465,-0.622,0.475,-0.381,0.4,NA,0.18
0,0.0907,0.195,0.401,0.347,0.29,-1.1,-1.09,0.0973,-0.28,0.125,0.0587,0.0435,-0.355,0.0711,0.166,-0.27
0,-0.0602,0.0652,0.228,0.204,0.573,0.0746,0.0745,0.921,-0.213,-0.526,-0.755,0.319,-0.231,0.965,0.595,-0.144
0,0.0661,0.162,0.133,0.126,0.692,-0.183,-0.167,0.212,0.944,-0.66,0.74,0.108,-0.27,NA,1.2,-0.216
0,0.0481,0.159,0.241,0.235,0.867,-0.739,-0.773,-0.211,0.7,0.0332,0.953,0.912,-1.41,-0.0548,1.27,-0.182
0,0.17,-0.0427,0.313,0.277,-0.171,-0.155,-0.17,-0.758,-0.54,2.16,-0.811,-0.088,-0.0723,-0.877,NA,0.567
0,-0.00215,0.117,0.594,0.536,0.343,-0.78,-0.813,1.07,2.08,-0.55,0.691,0.216,-0.317,1.4,NA,-0.308
0,0.101,0.225,0.427,0.367,0.289,-1.02,-1.03,-0.869,0.215,-1.27,0.747,0.0274,-0.669,NA,-0.164,-0.108
0,0.0998,0.185,0.0677,0.0112,-0.166,-1.44,-1.19,NA,-1.03,0.365,1.97,-0.489,0.166,-1.73,NA,-0.388
0,-0.00594,0.112,0.0784,0.0825,0.52,-0.572,-0.562,-0.197,0.0834,-0.196,-0.123,0.0592,0.16,-0.133,NA,0.269
0,0.0556,0.156,-0.058,-0.0581,NA,0.168,0.249,-0.0824,0.18,0.345,0.399,-0.00503,-0.701,0.107,0.985,-0.0515
0,-0.041,0.0431,-0.439,-0.347,0.61,0.586,0.512,-0.361,-0.0381,-0.262,0.842,0.447,-0.623,-0.181,NA,0.812
0,0.219,0.222,0.206,0.178,0.95,-0.378,-0.354,1.47,-0.218,0.54,-0.657,-0.0419,-0.802,NA,0.961,-0.43
0,0.0443,0.149,0.388,0.33,0.453,-0.358,-0.329,-0.463,0.059,-0.387,-0.152,-0.0925,-0.0633,-0.344,-0.384,0.329
0,0.209,0.195,0.366,0.31,0.352,-0.609,-0.575,0.926,-0.322,0.0899,-1.07,-0.323,-0.56,0.614,0.206,-0.582
0,-0.0132,-0.593,-0.135,-0.105,-2.46,0.139,0.152,0.397,-1.49,1.7,-1.34,0.269,0.221,0.0648,-1.56,-0.0526
0,-0.208,0.116,0.185,0.152,0.303,0.44,0.443,0.56,1.07,-1.71,0.31,-0.0312,0.22,0.853,0.38,-0.201
0,-0.00152,0.157,-0.0367,-0.0113,0.0266,0.324,0.179,NA,0.457,-0.631,0.799,-0.223,-0.336,0.572,0.399,-0.189
0,0.0601,0.1,0.329,0.288,0.855,-0.427,-0.356,0.167,0.111,-0.329,-0.539,0.684,-0.163,0.0973,1.04,NA
0,-0.01,0.164,0.272,0.229,0.45,-1.16,-1.08,0.278,1.32,-1.08,0.447,-0.0153,0.068,0.654,0.539,-0.079
0,-0.0858,0.154,-0.0242,-0.0219,0.294,-0.0697,-0.078,0.411,0.854,-1.45,1.26,-0.171,0.0836,0.711,0.564,-1.39
0,-0.122,-0.414,-0.771,-0.667,-0.457,0.36,0.568,-0.397,-0.0851,-0.266,0.591,0.249,-0.752,-0.383,NA,-0.0144
0,0.0506,0.155,0.464,0.394,NA,-0.197,-0.177,NA,0.456,-0.264,0.366,0.13,-0.731,-0.0656,0.323,-0.0282
0,-0.0113,0.111,0.167,0.152,NA,-0.353,-0.342,0.585,1.29,-0.745,0.246,-0.206,-0.304,0.707,1.38,NA
0,-0.0527,-0.37,-0.218,-0.19,-1.91,0.307,0.302,1.41,-1.58,1.38,-1.18,-0.0641,0.0334,0.961,0.362,-3.13
0,-0.0722,0.145,-0.0378,-0.0383,0.689,0.339,0.267,NA,0.991,-1.41,0.0249,-0.833,0.657,0.0314,1.47,-0.162
